entidad_federativa;matricula;total;hombres;mujeres;porcentaje_hombres;porcentaje_mujeres
Estados Unidos Mexicanos_1;Preescolar;4243279;2133580;2109699;50;50
Estados Unidos Mexicanos_2;Primaria;13154354;6680355;6473999;51;49
Estados Unidos Mexicanos_3;Secundaria;6284377;3166930;3117447;50;50
Estados Unidos Mexicanos_4;Media superior;5103342;2470633;2632709;48;52
Estados Unidos Mexicanos_5;Superior;4051691;1903882;2147809;47;53
Aguascalientes_1;Preescolar;51923;25997;25926;50;50
Aguascalientes_2;Primaria;160882;81745;79137;51;49
Aguascalientes_3;Secundaria;74759;37586;37173;50;50
Aguascalientes_4;Media superior;58034;27551;30483;48;53
Aguascalientes_5;Superior;55521;25184;30337;45;55
Baja California_1;Preescolar;95661;47420;48241;50;50
Baja California_2;Primaria;379660;192503;187157;51;49
Baja California_3;Secundaria;185622;93787;91835;51;50
Baja California_4;Media superior;152086;73906;78180;49;51
Baja California_5;Superior;127286;59917;67369;47;53
Baja California Sur_1;Preescolar;25752;12734;13018;49;51
Baja California Sur_2;Primaria;82454;41765;40689;51;49
Baja California Sur_3;Secundaria;41875;21148;20727;51;50
Baja California Sur_4;Media superior;36012;17587;18425;49;51
Baja California Sur_5;Superior;23001;10532;12469;46;54
Campeche_1;Preescolar;32248;16295;15953;51;50
Campeche_2;Primaria;96693;49129;47564;51;49
Campeche_3;Secundaria;45439;23140;22299;51;49
Campeche_4;Media superior;36762;18576;18186;51;50
Campeche_5;Superior;31135;14750;16385;47;53
Coahuila de Zaragoza_1;Preescolar;128475;64844;63631;51;50
Coahuila de Zaragoza_2;Primaria;335176;170042;165134;51;49
Coahuila de Zaragoza_3;Secundaria;155256;78258;76998;50;50
Coahuila de Zaragoza_4;Media superior;120176;58822;61354;49;51
Coahuila de Zaragoza_5;Superior;112755;54730;58025;49;52
Colima_1;Preescolar;22255;11348;10907;51;49
Colima_2;Primaria;69951;35456;34495;51;49
Colima_3;Secundaria;34619;17497;17122;51;50
Colima_4;Media superior;30508;14443;16065;47;53
Colima_5;Superior;21952;9981;11971;46;55
Chiapas_1;Preescolar;294536;147564;146972;50;50
Chiapas_2;Primaria;793691;402534;391157;51;49
Chiapas_3;Secundaria;298813;153040;145773;51;49
Chiapas_4;Media superior;206227;102603;103624;50;50
Chiapas_5;Superior;83894;40826;43068;49;51
Chihuahua_1;Preescolar;111143;55778;55365;50;50
Chihuahua_2;Primaria;403346;204985;198361;51;49
Chihuahua_3;Secundaria;185093;92914;92179;50;50
Chihuahua_4;Media superior;147721;70152;77569;48;53
Chihuahua_5;Superior;129696;59976;69720;46;54
Ciudad de Mexico_1;Preescolar;208002;104090;103912;50;50
Ciudad de Mexico_2;Primaria;722084;366188;355896;51;49
Ciudad de Mexico_3;Secundaria;404808;204508;200300;51;50
Ciudad de Mexico_4;Media superior;449729;224531;225198;50;50
Ciudad de Mexico_5;Superior;559817;274248;285569;49;51
Durango_1;Preescolar;64409;32552;31857;51;50
Durango_2;Primaria;213029;108537;104492;51;49
Durango_3;Secundaria;98642;49569;49073;50;50
Durango_4;Media superior;78930;37388;41542;47;53
Durango_5;Superior;52066;24437;27629;47;53
Guanajuato_1;Preescolar;226971;114475;112496;50;50
Guanajuato_2;Primaria;679098;345751;333347;51;49
Guanajuato_3;Secundaria;314019;158283;155736;50;50
Guanajuato_4;Media superior;240168;113384;126784;47;53
Guanajuato_5;Superior;161984;75600;86384;47;53
Guerrero_1;Preescolar;162856;82454;80402;51;49
Guerrero_2;Primaria;408727;207486;201241;51;49
Guerrero_3;Secundaria;185627;93678;91949;51;50
Guerrero_4;Media superior;138170;66049;72121;48;52
Guerrero_5;Superior;73157;32583;40574;45;56
Hidalgo_1;Preescolar;97242;49204;48038;51;49
